time_ident_stop,time_speed_est_start,time_speed_est_stop,time_catch_start,time_catch_stop
0.31959,0.31959,1.91332,1.91433,8.03301
0.30632,0.30632,1.91257,1.91257,8.04777
0.28589,0.28589,1.71378,1.71378,8.14259
0.37551,0.37551,1.97673,1.97673,8.11803
0.30127,0.30127,2.10041,2.10041,8.59068
0.30292,0.30292,1.61231,1.61231,7.95345
0.3033,0.3033,1.79718,1.79718,8.0656
0.30468,0.30468,1.89739,1.89739,8.26186
0.26707,0.26707,1.69478,1.69478,7.92359
0.29633,0.29633,1.99066,1.99066,8.32612
0.30591,0.30591,2.10771,2.10771,8.4433
0.32442,0.32442,1.81117,1.81117,8.36579
0.30197,0.30197,1.89839,1.89839,8.31127
0.29953,0.29953,1.98872,1.98872,8.459
0.27249,0.27249,1.68303,1.68303,8.31357
0.32386,0.32386,1.92397,1.92397,8.17636
0.31593,0.31593,2.09775,2.09775,8.13359
0.29824,0.29824,1.98922,1.98922,8.37116
0.27302,0.27302,2.1023,2.1023,8.21163
0.28834,0.28834,1.59226,1.59226,8.39361
0.3074,0.3074,1.89859,1.89859,8.01764
0.3103,0.3103,2.09555,2.09555,8.3396
0.31503,0.31503,1.83148,1.83578,7.93178
0.29277,0.29277,2.0106,2.0106,8.31485
0.2914,0.2914,1.60559,1.60559,8.01544
0.32262,0.32262,1.80681,1.80681,7.94557
0.29238,0.29238,2.00966,2.00966,8.45609
0.31005,0.31005,2.11073,2.11073,8.53498
0.30288,0.30288,1.89292,1.89292,8.2279
0.27493,0.27493,2.00329,2.00428,8.13212
0.29696,0.29696,1.99504,1.99504,8.1177
0.31715,0.31715,2.11469,2.11469,8.26804
0.29138,0.29138,1.79499,1.79599,8.04463
0.31706,0.31706,2.10662,2.10662,8.36257
0.30386,0.30386,1.60889,1.60889,7.92475
0.31335,0.31335,1.60486,1.60688,7.76198
0.31572,0.31572,1.91293,1.91293,8.13133
0.30271,0.30271,2.00588,2.00588,8.16243
0.29514,0.29514,1.68466,1.68466,7.96288
0.27567,0.27567,1.77709,1.77911,8.32437
0.30297,0.30297,2.09413,2.09413,8.24183
0.28684,0.28684,1.70172,1.70172,7.96062
0.30051,0.30051,1.91367,1.91367,8.2803
0.29962,0.29962,2.10739,2.10739,8.62794
0.31528,0.31528,1.90561,1.90561,8.23686
0.31134,0.31134,1.90666,1.90666,8.05713
0.26883,0.26883,1.59482,1.59482,8.65459
0.30827,0.30827,1.89705,1.89705,8.02898
0.30788,0.30788,2.00403,2.00403,8.33753
0.30901,0.30901,1.69469,1.69469,8.26317
0.27602,0.27602,1.79464,1.79464,8.11771
0.28315,0.28315,2.1862,2.1862,8.78861
0.28136,0.28136,1.6634,1.6634,8.06822
0.28667,0.28667,1.89855,1.89855,8.47171
0.31815,0.31815,2.00663,2.00663,8.03122
0.30088,0.30088,1.6016,1.60361,7.61368
0.3062,0.3062,1.8089,1.8089,8.03894
0.29385,0.29385,2.10718,2.10718,8.32638
0.33457,0.33457,1.90912,1.90912,8.0417
0.29332,0.29332,2.08384,2.08384,8.44275
0.32701,0.32701,2.09699,2.09699,8.6315
0.27877,0.27877,1.88624,1.88825,8.34754
0.29134,0.29134,1.92319,1.92319,8.05227
0.30868,0.30868,2.10767,2.10767,8.64924
0.30187,0.30187,1.78907,1.78907,8.32963
0.2866,0.2866,1.80649,1.81041,7.82893
0.30502,0.30502,2.00077,2.00077,8.25144
0.28911,0.28911,1.68368,1.68368,8.63096
0.31095,0.31095,1.83467,1.83467,7.86951
0.30141,0.30141,2.08532,2.08632,8.20701
0.30071,0.30071,1.59965,1.59965,8.31353
0.29297,0.29297,1.80117,1.80117,8.02561
0.27939,0.27939,1.89927,1.89927,8.42538
0.30797,0.30797,1.58242,1.58647,7.72445
0.29723,0.29723,1.89789,1.89789,8.13252
0.28889,0.28889,2.10686,2.10686,8.32084
0.30168,0.30168,1.61019,1.61019,8.02668
0.28562,0.28562,1.88457,1.88457,8.43137
0.28647,0.28647,1.98882,1.98882,8.15529
0.31303,0.31303,2.11199,2.11199,8.57479
0.30805,0.30805,1.91076,1.91076,8.13326
0.29882,0.29882,1.60199,1.60199,8.54401
0.31352,0.31352,2.00004,2.00004,8.27222
0.28388,0.28388,1.98238,1.98238,8.35626
0.2892,0.2892,1.7903,1.7903,8.26
0.29309,0.29309,2.08315,2.08414,8.66651
0.29458,0.29458,1.60294,1.60294,7.93796
0.27601,0.27601,1.87613,1.87814,8.23111
0.30222,0.30222,2.09226,2.09326,8.56577
0.314,0.314,1.90841,1.90942,8.12769
0.31548,0.31548,2.20288,2.20288,8.44392
0.31132,0.31132,1.69689,1.69689,8.12718
0.2871,0.2871,2.00347,2.00447,8.19953
0.29855,0.29855,2.08908,2.09008,8.3475
0.30397,0.30397,1.70501,1.70501,8.2157
0.27413,0.27413,1.8771,1.8771,8.22266
0.2931,0.2931,1.90842,1.90842,7.96088
0.30698,0.30698,1.70962,1.70962,8.24891
