part_number,part_rotation,distance_traveled,time_ident_stop,time_speed_est_start,time_speed_est_stop,time_catch_start,time_catch_stop
0,-19.453353881835938,0.6062799999999999,0.30893,0.30893,2.30594,2.30594,8.03082
0,18.565704345703125,0.5755600000000001,0.30102,0.30102,2.3007,2.3007,8.02928
1,-26.069665273030605,0.5866199999999999,0.29907,0.29907,2.48886,2.48886,8.20864
1,10.73807843526204,0.58315,0.29554,0.29554,2.59066,2.59066,8.11015
2,11.753046035766602,0.58333,0.30882,0.30882,1.69461,1.69461,7.4948
2,-2.7287216186523438,0.5805100000000001,0.31259,0.31259,2.11224,2.11224,7.82459
0,1.9566512107849119,0.56858,0.30561,0.30561,2.51423,2.51423,8.01342
0,-6.968732198079423,0.5710500000000001,0.3008,0.3008,2.49789,2.49789,7.99951
1,16.456926981608078,0.58044,0.30582,0.30582,2.30744,2.30744,7.9039
1,-15.797365824381515,0.59763,0.32381,0.32381,2.63636,2.63636,8.52666
2,11.785292307535812,0.9282699999999999,0.40048,0.40048,2.0932,2.0932,12.5598
0,-12.64534250895183,0.66776,0.28675,0.28675,2.30426,2.30426,9.15186
0,-20.11117172241211,0.59521,0.29489,0.29489,2.00393,2.00393,8.21476
1,-3.6171391805012973,0.74831,0.30254,0.30254,2.61038,2.61038,10.27712
1,46.90779240926107,0.74754,0.31968,0.31968,2.42145,2.42145,10.12948
2,42.30537414550781,0.56365,0.28726,0.28726,1.88459,1.88459,7.69248
0,9.064009348551437,0.7192099999999999,0.29088,0.29088,2.29392,2.29392,9.88235
0,-24.239835103352863,0.59582,0.31157,0.31157,2.33378,2.33378,8.02445
1,36.86573791503906,0.59268,0.28326,0.28326,2.51793,2.51793,8.30991
1,11.030658086140946,0.76179,0.30599,0.30599,2.63872,2.63872,10.39294
2,-37.994859059651695,0.61943,0.30409,0.30409,2.00048,2.00048,8.2836
2,-18.089889526367188,0.88993,0.29332,0.29332,2.15153,2.15153,12.172
0,12.050009727478027,0.60015,0.30531,0.30531,2.30581,2.30581,7.90027
0,11.046326319376632,0.59773,0.32406,0.32406,2.29491,2.29491,7.9187
1,-39.77397918701172,0.7508299999999999,0.30187,0.30187,2.5979,2.5979,10.41243
1,-18.193321228027344,0.60111,0.30736,0.30736,2.58844,2.58844,8.33252
2,30.882329305013023,0.61753,0.30672,0.30672,1.88808,1.88808,8.28638
2,-17.18789164225261,0.57338,0.32204,0.32204,1.82855,1.82855,7.72759
0,-30.7765007019043,0.58448,0.2895,0.2895,2.29494,2.29494,8.09688
0,33.08444341023763,0.60242,0.28565,0.28565,2.27154,2.27154,8.19627
1,-23.641021728515625,0.58485,0.30695,0.30695,2.39196,2.39196,8.00862
1,-43.94517389933268,0.57759,0.2975,0.2975,2.475,2.475,8.0963
2,-26.057223002115883,0.60704,0.30209,0.30209,1.81713,1.81713,7.80126
2,-11.950070699055985,0.59685,0.30245,0.30245,1.98476,1.98476,7.97554
0,-40.97404861450195,0.55932,0.28967,0.28967,1.79904,1.79904,7.60422
0,-5.656801859537765,0.5675,0.29686,0.29686,2.39889,2.39889,7.94635
1,-21.08966827392578,0.57755,0.29122,0.29122,2.38109,2.38109,7.9812
1,-21.828351338704422,0.58634,0.27915,0.27915,2.28819,2.28819,7.98036
2,-23.91922505696614,0.56752,0.32061,0.32061,1.80157,1.80157,7.57695
2,21.424463272094727,0.57418,0.28833,0.28833,1.88197,1.88197,7.78221
0,-11.816724141438797,0.5873700000000001,0.29506,0.29506,2.3829,2.3829,8.10598
0,17.56686655680339,0.57308,0.29237,0.29237,1.98469,1.98469,7.68465
1,-10.990974426269531,0.58144,0.29414,0.29414,2.49968,2.49968,8.0458
1,-20.47390238444011,0.55938,0.33765,0.33765,2.51916,2.51916,8.20368
2,8.197346051534012,0.62857,0.28573,0.28573,1.99842,1.99842,8.33113
2,-14.796251932779954,0.60141,0.32531,0.32531,1.92363,1.92363,7.92146
0,-8.731765747070312,0.73,0.30942,0.30942,2.39478,2.39478,10.10715
0,-24.76300811767578,0.68417,0.32649,0.32649,2.30508,2.30508,9.31482
1,-26.308710734049477,0.7549300000000001,0.30088,0.30088,2.38687,2.38687,10.2555
1,-25.22071075439453,0.78556,0.32357,0.32357,2.51466,2.51466,10.74662
2,32.31224822998047,0.6525799999999999,0.30872,0.30872,1.91523,1.91523,8.13044
2,-20.10320281982422,0.58366,0.30409,0.30409,1.90278,1.90278,7.69604
0,-22.168996175130204,0.60044,0.30543,0.30543,2.30883,2.30883,7.99826
0,-13.67751820882161,0.71384,0.26789,0.26789,2.28649,2.28649,9.77324
1,-16.647699991861984,0.76786,0.27011,0.27011,2.39017,2.39017,10.39951
1,-19.85400390625,0.7656700000000001,0.29073,0.29073,2.57091,2.57091,10.60651
2,-22.46621195475261,0.6023499999999999,0.29185,0.29185,2.00807,2.00807,8.02625
2,-14.932594299316406,0.71829,0.29791,0.29791,1.99402,1.99402,9.78711
0,-0.2280426025390625,0.74154,0.28607,0.28607,2.48697,2.48697,10.28631
0,-21.68965657552083,0.60275,0.26511,0.26511,2.27409,2.27409,7.89748
1,-19.303367614746097,0.74464,0.29923,0.29923,2.49166,2.49166,10.18523
1,30.77733294169108,0.7535000000000001,0.31325,0.31325,2.39266,2.39266,10.32819
2,-18.49242401123047,0.61293,0.34431,0.34431,2.02262,2.02262,7.92615
