part_number,part_rotation,distance_traveled,time_ident_stop,time_speed_est_start,time_speed_est_stop,time_catch_start,time_catch_stop
1,1.7201918363571167,0.59393,0.30404,0.30404,3.40295,3.40295,11.33854
2,-36.88640594482422,0.45427999999999996,0.2989,0.2989,2.30667,2.30667,8.33212
0,23.426022211710617,0.47835,0.29844,0.29844,3.01523,3.01523,8.78541
0,-23.69570668538411,0.44717999999999997,0.30297,0.30297,2.72769,2.72769,8.68613
0,-24.93044535319011,0.55025,0.3043,0.3043,2.89616,2.89616,10.50831
1,3.0920239289601597,0.5737,0.30016,0.30016,3.40783,3.40783,11.02322
1,11.15493106842041,0.61259,0.29656,0.29656,3.22075,3.22075,11.61782
2,-4.439829508463546,0.54533,0.31826,0.31826,2.72722,2.72722,10.40005
2,30.463797569274902,0.45076000000000005,0.28582,0.28582,2.28454,2.28454,8.12759
0,-39.197967529296875,0.47799,0.29664,0.29664,3.01518,3.01518,8.89611
0,22.040763219197586,0.54776,0.3115,0.3115,2.9191,2.9191,10.32334
0,44.67072868347168,0.56382,0.30874,0.30874,2.89786,2.89786,11.10341
1,2.25792781511943,0.63907,0.2777,0.2777,3.39679,3.39679,12.13072
2,13.650308609008789,0.5794900000000001,0.2853,0.2853,2.41806,2.41806,10.49956
1,-8.364054361979171,0.6451,0.48906,0.48906,3.61272,3.61272,12.30716
2,-25.060590108235672,0.45843999999999996,0.30411,0.30411,2.49518,2.49518,8.49541
